mtime,AJ,BW,CF,CM,CQ,CW,CZ,DO,DV,ER,EZ,FM,FO,GJ,HQ,IN,IR,IT,JL,JQ,JY,NP,NT,OQ,PT,PY,RW,SU,TX,TY
2021-11-01T00:00,16682,17784,24601,17334,18613,19882,19864,20945,20574,18640,19903,18800,24090,17800,18095,18120,18070,19274,20391,19682,20679,18644,19301,19699,18694,18244,16122,17911,19732,21025
2021-11-01T00:05,22120,20772,19053,19202,19900,22185,17590,17790,19257,20282,18002,21124,19085,18883,17899,17251,17540,19022,17723,22197,21848,23772,20318,18363,18096,17878,21449,21409,20773,19615
2021-11-01T00:10,18826,20912,18851,22150,21217,17191,18628,16857,18706,21792,20373,19587,17913,18272,21493,20495,18337,16146,21729,17712,19111,18605,18877,18430,21384,19478,21576,18668,18408,18383
2021-11-01T00:15,19323,17486,20919,20929,20207,21276,22208,17139,18912,19495,19370,22605,17272,19340,18558,22312,19502,23735,19874,17951,17616,21115,18724,19548,18351,18579,19049,20146,18795,20763
2021-11-01T00:20,17976,16523,19442,21903,17655,20107,18165,19377,20904,17387,20589,18772,22576,17572,15544,22004,18984,21513,22579,19379,19521,18692,17693,22680,18730,20502,20696,21256,21032,19359
2021-11-01T00:25,18700,19345,17633,18600,21172,20118,18740,18089,19434,21683,21645,18765,19953,20133,20903,19198,21732,19906,21553,17911,20330,20013,18357,20723,18678,21385,17434,18898,20005,20395
2021-11-01T00:30,16152,18771,17353,18272,20472,20818,20356,21615,18565,21473,20289,18450,20475,19128,15820,20285,19929,19722,17888,20520,19430,18899,19410,17456,17276,19394,18927,19792,19664,19325
2021-11-01T00:35,20317,17344,16995,18910,19136,21550,16621,20387,20401,21653,18134,19385,22207,19775,22498,21397,20401,17579,16792,20827,20257,19894,21895,17670,15618,20722,20748,18258,20279,19327
2021-11-01T00:40,21031,19613,17905,16781,20159,19212,20067,18708,17788,20111,18896,18897,18881,17238,21026,19171,19182,16511,19758,17175,22632,19596,22067,20924,17693,0,17795,21886,20748,21003
2021-11-01T00:45,20703,18414,20434,16686,20295,19182,19568,23043,19918,21393,18938,22937,19460,18583,20887,21873,21351,17967,21801,22599,20742,15383,17309,20064,18780,19741,19306,15855,20384,21779
2021-11-01T00:50,20878,20694,16302,18960,20022,19464,17323,20917,21023,18882,20315,20549,16992,19174,19658,18870,21589,17577,21677,17358,22744,18889,18890,17630,17165,20819,19483,19027,21691,18157
2021-11-01T00:55,17721,20387,17181,17988,20292,20166,17547,17898,21011,20142,23997,20721,21222,18106,20627,19269,17122,15253,18238,22393,0,21039,18090,17122,18002,18490,16525,19692,18652,20036
2021-11-01T01:00,17732,18523,16827,20016,19831,21293,19759,19269,21261,22432,20986,19951,20955,20262,19552,16490,15985,20913,19546,18005,17324,22049,19610,19532,21450,17164,20446,18019,18375,18834
2021-11-01T01:05,18539,22189,18591,19087,21424,19492,18827,20376,20766,20343,17955,17885,20713,17407,17251,19730,17678,18967,23527,18205,20714,17828,16376,20333,19686,0,15432,21546,17213,18014
2021-11-01T01:10,19551,18989,21290,20194,17924,19668,20903,19215,18475,22415,19600,20406,16981,20013,18811,17030,18038,19759,21915,22523,18896,20496,18318,19893,21304,18265,22213,19095,18507,20580
2021-11-01T01:15,19429,21486,20185,19092,19964,18639,19372,18231,19214,24343,20950,19061,20135,18388,19487,18586,21351,19665,18920,18558,19821,22548,20522,21786,18229,20297,20747,22618,19148,18722
2021-11-01T01:20,19106,21529,18441,19560,15917,21387,0,18809,17953,22033,20425,22305,20232,20898,22264,19860,18512,17315,17951,21341,16660,18568,16102,19952,21472,17754,16091,19829,21239,19113
2021-11-01T01:25,17025,20280,20083,17205,18879,19248,16558,20000,19728,21749,18812,21685,20015,19627,19958,17576,19607,19317,18415,19647,19191,19379,22355,17962,20150,18845,17259,21045,19874,22288
2021-11-01T01:30,19785,15154,21999,17768,17092,19270,20956,21524,20087,21938,19196,20103,21452,19835,20626,18335,19357,22033,19279,19267,20132,19868,19234,17312,20653,20836,18384,17655,19798,16784
2021-11-01T01:35,20021,19303,16866,19671,21400,19562,19594,19358,19298,19318,17727,14512,19296,19800,19926,22096,20405,16111,17301,18996,20025,21846,20308,21716,17222,22962,16834,21854,21929,19089
2021-11-01T01:40,19673,21434,16715,19493,18864,20137,21568,17926,22792,18441,19836,19309,19108,18862,19427,18953,20563,20728,20148,20604,17208,19467,20664,17502,20772,20952,16956,19122,19670,18892
2021-11-01T01:45,21001,21220,20008,19220,17151,20898,16453,19774,20266,18562,21494,18738,18704,24371,16972,18532,22148,21868,18135,22821,21079,16912,18803,17289,20837,17064,17879,20583,17159,19742
2021-11-01T01:50,20732,19894,21232,22344,20910,19010,21093,19586,18448,16868,19066,21445,17805,21577,21279,21493,19475,18589,19464,18080,17745,20058,21302,16494,16995,18986,17209,19283,21058,18049
2021-11-01T01:55,19114,17103,21079,19091,18911,18174,22553,21067,16829,20916,21130,17236,20547,19396,20593,21556,19260,22174,18783,17853,19098,22679,17062,18959,19474,19360,16962,15502,20196,18616
2021-11-01T02:00,19153,18944,19871,18876,21349,17940,0,23249,18080,18061,21210,20835,21101,17925,18351,18399,22033,20574,18202,19128,17733,18533,21522,18636,18993,19772,19701,18656,17734,19918
2021-11-01T02:05,21249,16654,20805,17694,20221,20458,19795,19649,16066,19991,19967,21884,22042,20071,19687,19696,21747,18074,18589,18775,16780,20974,19196,20682,20303,22241,19366,18925,18835,20351
2021-11-01T02:10,20805,19292,18339,20977,19904,21626,19843,19165,19651,0,17649,18700,18968,20449,20275,15830,19212,21506,19533,19845,19056,17914,15175,18844,16833,21058,17584,22160,20499,20616
2021-11-01T02:15,19174,18628,21866,20602,20469,19202,20280,16761,18206,20471,19305,20339,17403,17935,21946,17862,20911,20692,20401,20420,20222,18001,18212,19211,17559,20072,19831,19776,18899,18943
2021-11-01T02:20,19776,17520,19985,19167,21926,0,18653,20263,16469,19930,17398,19293,21322,21111,17419,21922,17708,16368,18128,18521,19435,17836,19837,18888,19573,18091,16781,20271,20433,20884
2021-11-01T02:25,17463,17704,0,20300,19750,17507,21421,21787,18748,21583,20998,16440,18262,21844,21517,17901,21187,20276,19637,20348,18279,21138,23890,19189,16582,20885,18919,18416,18463,20029
2021-11-01T02:30,19663,17410,18886,17219,21501,20642,17672,18901,19666,20639,17880,20433,21169,19723,17627,17298,19253,19807,19984,18424,16045,19573,22117,18803,19469,19634,22356,17712,21421,24372
2021-11-01T02:35,19360,20309,18082,18527,18820,20801,21093,20641,17735,18198,17938,17038,21695,18183,19247,19341,18644,19723,19397,21315,17557,17704,17788,19948,20074,18321,17775,17748,19651,18032
2021-11-01T02:40,19888,19828,22706,17214,20208,19964,18658,19187,18960,18551,17343,18969,18896,20546,20815,20733,19249,17942,20304,19254,21062,20029,16660,20359,21109,16406,21857,20395,23806,18636
2021-11-01T02:45,23119,20729,21240,17675,17012,16253,20326,18098,17159,18639,19561,20850,17955,18808,17734,19652,19346,18641,17269,20344,18745,19965,20366,20706,16319,20998,21167,19742,18428,17573
2021-11-01T02:50,18466,19441,21677,20030,17734,17074,0,18657,21547,19066,20568,18519,19906,24427,18294,19855,19204,21202,19061,18411,19735,18081,18952,20385,20658,19051,17418,18412,19460,16324
2021-11-01T02:55,19931,20762,19501,20193,20154,20955,18931,21102,19668,20980,20156,19540,19257,18037,20106,20680,19901,20197,20869,20421,19441,19301,19771,21797,18352,21844,19866,20947,20883,18344
2021-11-01T03:00,18195,20017,16265,20052,19635,20674,18155,17455,18995,19628,21875,22072,19965,19656,21477,22207,18203,20481,19348,19840,21105,19139,22019,16909,20508,19622,20945,18866,21754,17146
2021-11-01T03:05,21072,18189,18763,19224,19024,18212,19550,20856,20059,16025,18290,19172,18124,20854,19954,17263,22147,19813,21392,19400,20130,22162,18767,17907,18636,19939,19701,21940,21432,16549
2021-11-01T03:10,20239,19530,18515,17900,19667,16508,22670,18194,19634,18186,21663,16027,19519,17867,16743,20520,16727,20736,18620,24797,16686,19986,21105,18740,16913,20380,17461,18983,21406,19916
2021-11-01T03:15,20315,18881,18692,19320,22225,20208,21436,15663,18213,21998,22423,17253,20536,17924,18888,17136,20800,20047,19073,20348,20641,18473,20078,22641,18911,15537,20984,20246,18963,17977
2021-11-01T03:20,18939,20962,15902,19927,18640,20074,20579,21049,20373,21189,18874,19758,20715,20105,18361,23220,15370,18818,19480,20079,18731,17363,18600,19304,15374,21747,20262,19661,18151,20338
2021-11-01T03:25,20509,17459,19533,18517,18852,20550,19859,18345,18916,22958,20518,15519,18935,19767,19192,17051,20082,20757,21558,21772,17758,20883,21381,18594,20816,20439,16750,17149,16173,20995
2021-11-01T03:30,17283,21145,18268,19407,21362,16768,20922,20849,16661,15933,17681,20412,19761,20701,19183,20256,18554,22394,23047,21310,17117,18401,17269,19759,18350,22211,18706,20460,20039,19508
2021-11-01T03:35,20857,20138,19021,20490,17662,18181,18105,20967,20155,19015,21122,16825,18469,19236,15474,20990,19992,17640,18590,16349,22006,23535,20324,21860,19122,20430,19359,17804,17142,16443
2021-11-01T03:40,18679,19247,17862,18118,19052,21591,20266,19858,17762,22193,19207,20504,20376,15906,18827,15993,18773,19195,19443,19929,22006,21148,21367,21677,18813,18666,19079,19703,21522,17937
2021-11-01T03:45,19844,18266,19537,19904,18183,20858,18768,18498,22297,22502,21744,18965,20566,17787,21431,20178,16732,18902,20268,20983,18607,20839,16946,17601,20712,19965,20018,20582,18514,16396
2021-11-01T03:50,20579,19478,19545,18626,17758,20733,19068,16342,18806,21113,19273,20577,19552,18773,18188,18734,17471,20692,19840,16944,17633,18852,19902,18694,17425,17263,15529,20106,20574,19324
2021-11-01T03:55,18504,20823,18502,20577,17865,18463,20601,17704,22552,20445,21635,21745,20289,19810,19269,19958,20894,19863,20247,19365,15659,19654,20988,20511,22550,19321,18843,19384,20648,19716
2021-11-01T04:00,16493,20014,18559,19981,20350,19415,19714,20210,24118,20719,22109,19741,20059,22106,17073,20345,22801,19188,20377,19145,21692,19351,18958,17431,19272,17963,17930,19048,15612,16445
2021-11-01T04:05,19673,21709,19798,20562,17957,19134,17677,19849,19888,19471,18889,21337,17295,19661,19960,18704,18341,21905,20204,17313,20562,17067,20603,23816,16298,20957,21984,19525,19620,18810
2021-11-01T04:10,21354,18564,22641,22530,20653,18117,22823,16885,20792,20067,20379,20396,21758,21993,20862,18184,18780,21713,19824,18848,17190,21405,20362,17632,17206,18742,20227,20095,20509,19774
2021-11-01T04:15,19285,22189,0,19807,20365,18115,18918,21922,19207,20224,22728,20330,21831,23200,0,18197,21442,20305,19619,20997,19466,17904,18509,20310,20744,22084,17005,0,19758,19573
2021-11-01T04:20,18415,19983,19922,23158,19672,20357,20802,18569,22115,19198,22527,17673,20730,15213,18654,18315,22048,20277,18411,21824,19617,19516,19269,19294,21548,21293,22147,18301,17220,21850
2021-11-01T04:25,21232,21507,19633,20592,20315,19576,17816,22732,17178,22837,21453,21652,19172,23431,21469,17808,19154,19349,19338,18504,19202,16832,21547,20482,18983,20245,17731,21855,18848,19302
2021-11-01T04:30,17761,20970,21839,16490,17505,16222,18901,20824,23423,20833,17545,19723,19706,18840,20021,22237,19735,21179,16729,22044,20796,19567,22922,19102,18714,20789,18765,15805,20916,18569
2021-11-01T04:35,21551,18458,18732,21155,18599,20506,18624,17565,17176,20820,18655,19277,17318,21124,21726,17218,19007,19755,19006,19964,22130,20212,18887,18742,18665,19717,19686,21364,19038,17836
2021-11-01T04:40,16605,21769,17189,18492,21681,18650,18759,16591,19972,21291,20296,21668,22034,18585,18157,20527,20099,22879,18943,20117,18872,19587,19945,20797,18291,21071,19907,17627,21272,20424
2021-11-01T04:45,21056,20450,19605,18399,19459,21681,15764,18407,19804,20418,19019,19014,19071,21667,19739,18663,18845,18234,20963,23598,17727,16580,21037,20373,19209,17959,19159,18784,19785,19997
2021-11-01T04:50,20783,19434,21456,18694,21905,16589,19184,21173,17574,17467,18716,19208,16974,21278,18757,21017,0,21077,15930,19707,19658,17707,20029,18986,18049,20678,20154,18934,23784,17370
2021-11-01T04:55,19605,18671,17761,21704,18180,20600,18200,20358,18389,17751,21752,17439,20457,20509,16905,21729,18770,17543,19631,20591,20039,20568,19461,17859,18502,16362,17025,21226,18555,24156
2021-11-01T05:00,19431,21089,18557,19614,20821,19408,20117,21186,18300,19709,17276,20273,19161,18850,21189,19949,20714,20157,18468,19785,19727,20966,19141,22031,21089,19585,21247,18020,20787,18343
2021-11-01T05:05,18302,19179,21476,16947,18856,18645,15739,18206,20879,21291,20272,19180,21658,18808,20281,19753,17487,20341,21720,17488,18047,17740,18030,20906,20517,19648,17285,20455,21468,18306
2021-11-01T05:10,21586,19485,18571,16211,19426,19018,18200,19113,18511,21093,19987,18040,20947,21106,16508,16207,20977,17434,21337,21030,21392,19163,20299,19712,21527,19333,20309,16931,21468,18535
2021-11-01T05:15,19920,23779,19934,16318,18979,20134,18942,19718,17498,18820,19314,19707,17597,19833,21607,18966,18881,0,19954,17260,18820,23493,18902,18491,19866,18313,15832,19746,20208,22572
2021-11-01T05:20,19168,21248,21645,19965,19962,18825,18920,18468,19165,21812,19623,19445,19007,15996,21351,19784,19369,16890,19044,17018,18087,18642,17998,19720,19901,19607,16737,20038,17281,17941
